PARTIDO_POLITICO,PARTIDO_ID
Partido Unión Demócrata Independiente,1
Partido Comunista de Chile,2
Independiente,3
Partido Republicano de Chile,4
Unión Demócrata Independiente,5
Partido Por la Democracia,6
Partido Frente Amplio,7
Partido Socialista de Chile,8
Partido Radical Socialdemócrata,9
Partido Renovación Nacional,10
Partido Demócrata Cristiano,11
Partido Social Cristiano,12
Partido Liberal de Chile,13
Federación Regionalista Verde Social,14
Partido Evolución Política (Evópoli),15
Partido Demócratas Chile,16
Partido Ecologista Verde,17
Renovación Nacional,18
Partido Humanista,19
Partido Acción Humanista,20
Movimiento Amarillos por Chile,21
Partido por la Democracia,22
